dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
German Credit,R1_F5,1,5,Fixed0.50,0.5,0.5,0.775,0.5849056603773585,0.5740740740740741,0.8493150684931506,0.5794392523364486,0.7116945712836124,0.42590861262538904,0.6982619576794687,124,22,23,31,45,68,137,252,22.5,34.0,68.5,126.0
German Credit,R1_F5,1,5,MaxMCC,0.48010203016148073,0.48010203016148073,0.765,0.5636363636363636,0.5740740740740741,0.8356164383561644,0.5688073394495413,0.7048452562151193,0.4073463870167902,0.6926079216485982,122,24,23,31,47,70,139,254,23.5,35.0,69.5,127.0
German Credit,R1_F5,1,5,MaxF1,0.25963868818990804,0.25963868818990804,0.65,0.4215686274509804,0.7962962962962963,0.5958904109589042,0.5512820512820513,0.6960933536276002,0.3482996625684356,0.6888434707863995,87,59,11,43,70,81,114,169,35.0,40.5,57.0,84.5
German Credit,R1_F5,1,5,MaxBalancedAccuracy,0.25963868818990804,0.25963868818990804,0.65,0.4215686274509804,0.7962962962962963,0.5958904109589042,0.5512820512820513,0.6960933536276002,0.3482996625684356,0.6888434707863995,87,59,11,43,70,81,114,169,35.0,40.5,57.0,84.5
German Credit,R1_F5,1,5,MinCost_FN2_FP1,0.3159819661179658,0.3159819661179658,0.7,0.4666666666666667,0.7777777777777778,0.6712328767123288,0.5833333333333334,0.7245053272450532,0.40069355490060804,0.7225441268328877,98,48,12,42,60,72,108,168,30.0,36.0,54.0,84.0
German Credit,R1_F5,1,5,MinCost_FN5_FP1,0.1917458243067876,0.1917458243067876,0.6,0.39166666666666666,0.8703703703703703,0.5,0.5402298850574713,0.6851851851851851,0.3356401659331825,0.6596856715021066,73,73,7,47,80,87,108,143,40.0,43.5,54.0,71.5
German Credit,R1_F5,1,5,MinCost_FN10_FP1,0.08149289271336912,0.08149289271336912,0.455,0.3312883435582822,1.0,0.2534246575342466,0.4976958525345622,0.6267123287671232,0.2897527135530321,0.5034130089044646,37,109,0,54,109,109,109,109,54.5,54.5,54.5,54.5
German Credit,R2_F1,2,1,Fixed0.50,0.5,0.5,0.77,0.673469387755102,0.5238095238095238,0.8832116788321168,0.5892857142857143,0.7035106013208203,0.43960343555155945,0.6801725434858873,121,16,30,33,46,76,166,316,23.0,38.0,83.0,158.0
German Credit,R2_F1,2,1,MaxMCC,0.36569929389171324,0.36569929389171324,0.77,0.6197183098591549,0.6984126984126984,0.8029197080291971,0.6567164179104478,0.7506662032209477,0.4866674581632047,0.7488453244117956,110,27,19,44,46,65,122,217,23.0,32.5,61.0,108.5
German Credit,R2_F1,2,1,MaxF1,0.36569929389171324,0.36569929389171324,0.77,0.6197183098591549,0.6984126984126984,0.8029197080291971,0.6567164179104478,0.7506662032209477,0.4866674581632047,0.7488453244117956,110,27,19,44,46,65,122,217,23.0,32.5,61.0,108.5
German Credit,R2_F1,2,1,MaxBalancedAccuracy,0.2338459963790671,0.2338459963790671,0.675,0.49056603773584906,0.8253968253968254,0.6058394160583942,0.6153846153846154,0.7156181207276098,0.4013552526245874,0.7071477432014226,83,54,11,52,65,76,109,164,32.5,38.0,54.5,82.0
German Credit,R2_F1,2,1,MinCost_FN2_FP1,0.36569929389171324,0.36569929389171324,0.77,0.6197183098591549,0.6984126984126984,0.8029197080291971,0.6567164179104478,0.7506662032209477,0.4866674581632047,0.7488453244117956,110,27,19,44,46,65,122,217,23.0,32.5,61.0,108.5
