dataset,run_id,repeat,fold,feature_regime,weight_strategy,scale_pos_weight,source_features,transformed_features,feature_selection_runtime_seconds,model_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R2_F1,2,1,FrozenChi2Top75,Cost2,1.5612903225806452,11,37,0.037896000023465604,0.24052920000394806,0.8115942028985508,0.7974683544303798,0.863013698630137,0.7538461538461538,0.8289473684210527,0.8084299262381454,0.6223935202904763,0.9055848261327714,0.9032347402051207,0.8065851210063775,0.6748155953635405,49,16,10,63,18.840579710144926,26.08695652173913,47.82608695652174,84.05797101449275
Australian Credit Approval,R2_F1,2,1,FrozenChi2Top75,Cost5,3.903225806451613,11,37,0.037896000023465604,0.24628119997214526,0.8043478260869565,0.7613636363636364,0.9178082191780822,0.676923076923077,0.8322981366459627,0.7973656480505795,0.6176075021619297,0.9062170706006323,0.9016439921886621,0.7882166984727722,0.6731296101159114,44,21,6,67,19.565217391304348,23.91304347826087,36.95652173913044,58.69565217391305
Australian Credit Approval,R2_F2,2,2,AllFeatures,Unweighted,1.0,14,42,0.0,0.2590134000056423,0.8405797101449275,0.9452054794520548,0.7931034482758621,0.9215686274509803,0.8625,0.8573360378634212,0.6910881071087144,0.9168356997971603,0.9376983636499537,0.8549264624833096,0.749154834347532,47,4,18,69,15.942028985507246,28.985507246376812,68.1159420289855,133.33333333333334
Australian Credit Approval,R2_F2,2,2,AllFeatures,Balanced,0.8648648648648649,14,42,0.0,0.2615288000088185,0.8478260869565217,0.9459459459459459,0.8045977011494253,0.9215686274509803,0.8695652173913043,0.8630831643002028,0.7028699478477669,0.914131169709263,0.9362510734184417,0.8610992968865379,0.737660581473969,47,4,17,70,15.217391304347826,27.536231884057973,64.4927536231884,126.08695652173913
Australian Credit Approval,R2_F2,2,2,AllFeatures,Cost2,1.7297297297297298,14,42,0.0,0.2586528999963775,0.8478260869565217,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.8727272727272727,0.8549695740365111,0.6912623650661462,0.9127789046653144,0.9360173263027541,0.8545309378438276,0.749154834347532,45,6,15,72,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956
Australian Credit Approval,R2_F2,2,2,AllFeatures,Cost5,4.324324324324325,14,42,0.0,0.2651280999998562,0.8333333333333334,0.8636363636363636,0.8735632183908046,0.7647058823529411,0.8685714285714285,0.8191345503718729,0.6409471140618049,0.9089474870407934,0.9303981012637933,0.8173242512678889,0.737660581473969,39,12,11,76,16.666666666666668,24.63768115942029,48.55072463768116,88.40579710144928
Australian Credit Approval,R2_F2,2,2,FrozenChi2Top75,Unweighted,1.0,11,37,0.03823109995573759,0.24615039996569976,0.8478260869565217,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.8727272727272727,0.8549695740365111,0.6912623650661462,0.8988054992111787,0.9278412072608369,0.8545309378438276,0.7295469912102772,45,6,15,72,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956
Australian Credit Approval,R2_F2,2,2,FrozenChi2Top75,Balanced,0.8648648648648649,11,37,0.03823109995573759,0.24038030003430322,0.855072463768116,0.935064935064935,0.8275862068965517,0.9019607843137255,0.8780487804878049,0.8647734956051386,0.7090677039927678,0.9012846517917512,0.9291403101379726,0.863973555301107,0.7295469912102772,46,5,15,72,14.492753623188406,25.36231884057971,57.971014492753625,112.31884057971014
Australian Credit Approval,R2_F2,2,2,FrozenChi2Top75,Cost2,1.7297297297297298,11,37,0.03823109995573759,0.24570309999398887,0.8260869565217391,0.8888888888888888,0.8275862068965517,0.8235294117647058,0.8571428571428571,0.8255578093306288,0.6382971278118316,0.8976786116745549,0.9282073595349033,0.8255553174379664,0.718052738336714,42,9,15,72,17.391304347826086,28.26086956521739,60.869565217391305,115.21739130434783
Australian Credit Approval,R2_F2,2,2,FrozenChi2Top75,Cost5,4.324324324324325,11,37,0.03823109995573759,0.24945179995847866,0.8188405797101449,0.8780487804878049,0.8275862068965517,0.803921568627451,0.8520710059171598,0.8157538877620014,0.6207582167990109,0.8949740815866577,0.9220279868979914,0.8156680707387767,0.6869506423258959,41,10,15,72,18.115942028985508,28.985507246376812,61.594202898550726,115.94202898550725
