dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds_for_fold,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
German Credit,R2_F3,2,3,RFE,Top25,0.25,5,14,75.0,0.9701675000251271,0.2588176000281237,0.665,0.475,0.2923076923076923,0.8444444444444444,0.3619047619047619,0.5683760683760684,0.16012815380508713,0.6257549857549858,0.4754345903415941,0.4968275423500662,0.22336182336182336,114,21,46,19
German Credit,R2_F3,2,3,RFE,Top50,0.5,10,28,50.0,0.9701675000251271,0.29350739996880293,0.71,0.5714285714285714,0.4307692307692308,0.8444444444444444,0.49122807017543857,0.6376068376068376,0.29971402002909997,0.7285470085470086,0.5704512465366055,0.6031257611482731,0.41424501424501425,114,21,37,28
German Credit,R2_F3,2,3,RFE,Top75,0.75,15,52,25.0,0.9701675000251271,0.3217912000254728,0.71,0.5714285714285714,0.4307692307692308,0.8444444444444444,0.49122807017543857,0.6376068376068376,0.29971402002909997,0.7457549857549858,0.617797153233038,0.6031257611482731,0.4307692307692308,114,21,37,28
German Credit,R2_F3,2,3,EqualConsensus,Top25,0.25,5,16,75.0,0.9701675000251271,0.27022379997652024,0.71,0.5636363636363636,0.47692307692307695,0.8222222222222222,0.5166666666666667,0.6495726495726496,0.3137909393802942,0.7135612535612536,0.5497837997237558,0.6262082338461801,0.36125356125356123,111,24,34,31
German Credit,R2_F3,2,3,EqualConsensus,Top50,0.5,10,27,50.0,0.9701675000251271,0.2971510000061244,0.7,0.5555555555555556,0.38461538461538464,0.8518518518518519,0.45454545454545453,0.6182336182336182,0.26522987005040677,0.7230769230769232,0.5741474874613465,0.5723943812052383,0.41196581196581195,115,20,40,25
German Credit,R2_F3,2,3,EqualConsensus,Top75,0.75,15,50,25.0,0.9701675000251271,0.3221551000024192,0.73,0.6170212765957447,0.4461538461538462,0.8666666666666667,0.5178571428571429,0.6564102564102564,0.3455605382850382,0.7625071225071225,0.6365437973766338,0.621825270205921,0.4558404558404559,117,18,36,29
German Credit,R2_F4,2,4,Chi2,Top25,0.25,5,18,75.0,0.9339409999665804,0.2308191999909468,0.765,0.6037735849056604,0.5517241379310345,0.852112676056338,0.5765765765765766,0.7019184069936862,0.4152096836747386,0.7844827586206896,0.568601819681009,0.6856610909314381,0.48858669256920834,121,21,26,32
German Credit,R2_F4,2,4,Chi2,Top50,0.5,10,33,50.0,0.9339409999665804,0.3058053000131622,0.75,0.5869565217391305,0.46551724137931033,0.8661971830985915,0.5192307692307693,0.6658572122389509,0.35767060537986484,0.769669742593492,0.5740239527386098,0.635003719017917,0.5160271976687713,123,19,31,27
German Credit,R2_F4,2,4,Chi2,Top75,0.75,15,52,25.0,0.9339409999665804,0.33745759999146685,0.745,0.574468085106383,0.46551724137931033,0.8591549295774648,0.5142857142857142,0.6623360854783875,0.3474630196327308,0.7822972316658572,0.5735068261245262,0.632417135073313,0.4611461874696455,122,20,31,27
German Credit,R2_F4,2,4,MI,Top25,0.25,5,10,75.0,0.9339409999665804,0.2745708000147715,0.755,0.5882352941176471,0.5172413793103449,0.852112676056338,0.5504587155963303,0.6846770276833414,0.38452343962177593,0.7487858183584264,0.6019126445960921,0.6638884965799674,0.41646430305973775,121,21,28,30
