dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,total_source_features,feature_reduction_pct,selected_features
German Credit,R4_F4,4,4,EqualConsensus,Top75,0.75,15,20,25.0,status;amount;duration;property;installment_rate;personal_status_sex;credit_history;other_installment_plans;foreign_worker;savings;purpose;age;housing;number_credits;employment_duration
German Credit,R4_F5,4,5,Chi2,Top25,0.25,5,20,75.0,status;housing;duration;credit_history;amount
German Credit,R4_F5,4,5,Chi2,Top50,0.5,10,20,50.0,status;housing;duration;credit_history;amount;savings;property;employment_duration;personal_status_sex;foreign_worker
German Credit,R4_F5,4,5,Chi2,Top75,0.75,15,20,25.0,status;housing;duration;credit_history;amount;savings;property;employment_duration;personal_status_sex;foreign_worker;age;purpose;other_installment_plans;installment_rate;other_debtors
German Credit,R4_F5,4,5,MI,Top25,0.25,5,20,75.0,duration;amount;number_credits;status;housing
German Credit,R4_F5,4,5,MI,Top50,0.5,10,20,50.0,duration;amount;number_credits;status;housing;credit_history;foreign_worker;savings;property;personal_status_sex
German Credit,R4_F5,4,5,MI,Top75,0.75,15,20,25.0,duration;amount;number_credits;status;housing;credit_history;foreign_worker;savings;property;personal_status_sex;employment_duration;other_installment_plans;purpose;installment_rate;other_debtors
German Credit,R4_F5,4,5,L1,Top25,0.25,5,20,75.0,amount;credit_history;duration;installment_rate;other_debtors
German Credit,R4_F5,4,5,L1,Top50,0.5,10,20,50.0,amount;credit_history;duration;installment_rate;other_debtors;status;foreign_worker;purpose;age;number_credits
German Credit,R4_F5,4,5,L1,Top75,0.75,15,20,25.0,amount;credit_history;duration;installment_rate;other_debtors;status;foreign_worker;purpose;age;number_credits;people_liable;personal_status_sex;employment_duration;other_installment_plans;savings
German Credit,R4_F5,4,5,RF,Top25,0.25,5,20,75.0,amount;duration;age;installment_rate;present_residence
German Credit,R4_F5,4,5,RF,Top50,0.5,10,20,50.0,amount;duration;age;installment_rate;present_residence;number_credits;status;credit_history;property;telephone
German Credit,R4_F5,4,5,RF,Top75,0.75,15,20,25.0,amount;duration;age;installment_rate;present_residence;number_credits;status;credit_history;property;telephone;employment_duration;people_liable;other_installment_plans;housing;personal_status_sex
German Credit,R4_F5,4,5,RFE,Top25,0.25,5,20,75.0,duration;foreign_worker;credit_history;housing;amount
German Credit,R4_F5,4,5,RFE,Top50,0.5,10,20,50.0,duration;foreign_worker;credit_history;housing;amount;other_debtors;status;installment_rate;purpose;savings
German Credit,R4_F5,4,5,RFE,Top75,0.75,15,20,25.0,duration;foreign_worker;credit_history;housing;amount;other_debtors;status;installment_rate;purpose;savings;other_installment_plans;personal_status_sex;property;employment_duration;age
German Credit,R4_F5,4,5,EqualConsensus,Top25,0.25,5,20,75.0,duration;amount;credit_history;status;housing
German Credit,R4_F5,4,5,EqualConsensus,Top50,0.5,10,20,50.0,duration;amount;credit_history;status;housing;installment_rate;foreign_worker;number_credits;property;savings
German Credit,R4_F5,4,5,EqualConsensus,Top75,0.75,15,20,25.0,duration;amount;credit_history;status;housing;installment_rate;foreign_worker;number_credits;property;savings;employment_duration;personal_status_sex;age;other_debtors;purpose
German Credit,R5_F1,5,1,Chi2,Top25,0.25,5,20,75.0,status;housing;savings;credit_history;other_installment_plans
German Credit,R5_F1,5,1,Chi2,Top50,0.5,10,20,50.0,status;housing;savings;credit_history;other_installment_plans;duration;amount;employment_duration;property;foreign_worker
German Credit,R5_F1,5,1,Chi2,Top75,0.75,15,20,25.0,status;housing;savings;credit_history;other_installment_plans;duration;amount;employment_duration;property;foreign_worker;purpose;age;personal_status_sex;other_debtors;installment_rate
German Credit,R5_F1,5,1,MI,Top25,0.25,5,20,75.0,installment_rate;number_credits;amount;status;housing
German Credit,R5_F1,5,1,MI,Top50,0.5,10,20,50.0,installment_rate;number_credits;amount;status;housing;other_installment_plans;savings;credit_history;foreign_worker;age
German Credit,R5_F1,5,1,MI,Top75,0.75,15,20,25.0,installment_rate;number_credits;amount;status;housing;other_installment_plans;savings;credit_history;foreign_worker;age;duration;employment_duration;property;present_residence;purpose
German Credit,R5_F1,5,1,L1,Top25,0.25,5,20,75.0,status;amount;credit_history;installment_rate;savings
German Credit,R5_F1,5,1,L1,Top50,0.5,10,20,50.0,status;amount;credit_history;installment_rate;savings;duration;age;other_installment_plans;number_credits;foreign_worker
