dataset,run_id,repeat,fold,selector,retained_fraction,total_source_features,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
Taiwan Credit Card Default,R4_F1,4,1,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.11053959996206686,0.8854276000056416,0.8244414804934979,0.7007194244604317,0.3656156156156156,0.9554222031718816,0.48051307350764677,0.6605189093937487,0.41689574235996313,0.7832739780071543,0.5707120517435131,0.5910306903922293,0.4339883175073917,4458,208,845,487
Taiwan Credit Card Default,R4_F2,4,2,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.1296977000311017,1.0281543000019155,0.8245584805064978,0.6772334293948127,0.36181678214010776,0.9523708271316181,0.47165077772202707,0.657093804635863,0.4046093608687083,0.7894759327617034,0.5613662395383098,0.5870125621116424,0.4462447356010945,4479,224,829,470
Taiwan Credit Card Default,R4_F3,4,3,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.18496440001763403,1.1162586000282317,0.8151666666666667,0.6713091922005571,0.35571955719557197,0.9491926803013994,0.46502653159671975,0.6524561187484856,0.39280403570172656,0.7813190392399079,0.5632451524754024,0.581073489268003,0.4342811974944292,4409,236,873,482
Taiwan Credit Card Default,R4_F4,4,4,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.13771590002579615,1.0132932999986224,0.8161801501251043,0.646978021978022,0.35790273556231,0.9450737337037829,0.4608610567514677,0.6514882346330464,0.3839423498974498,0.7720344441405724,0.5546774634634608,0.5815878906929459,0.4142245212554835,4422,257,845,471
Taiwan Credit Card Default,R4_F5,4,5,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.13257810001960024,0.9600524000125006,0.82248126561199,0.6786666666666666,0.3815592203898051,0.9484050524512952,0.4884836852207294,0.6649821364205502,0.4148898166994562,0.7831484867713864,0.5554230967415364,0.6015585527835744,0.43370431033680334,4430,241,825,509
Taiwan Credit Card Default,R5_F1,5,1,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.13939769996795803,0.9719494999735616,0.830305050841807,0.6901595744680851,0.39800613496932513,0.9503727369542067,0.504863813229572,0.674189435961766,0.4339542540920634,0.7914582475809666,0.5689250375391808,0.6150237229695802,0.45593161371253843,4462,233,785,519
Taiwan Credit Card Default,R5_F2,5,2,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.13103460002457723,1.010250499995891,0.8186062020673558,0.6796116504854369,0.3637713437268003,0.9503332616641582,0.4738878143133462,0.6570523026954793,0.4030603634999834,0.7825483004748522,0.5688104189311831,0.5879659918599406,0.441119782176786,4420,231,857,490
Taiwan Credit Card Default,R5_F3,5,3,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.1262968999799341,1.0054337999899872,0.8169389796598866,0.654320987654321,0.36054421768707484,0.9460962566844919,0.4649122807017544,0.6533202371857834,0.38910995715314095,0.7768035699128137,0.5510421728382442,0.5840458327246074,0.4261093528320419,4423,252,846,477
Taiwan Credit Card Default,R5_F4,5,4,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.12974090001080185,0.979536900005769,0.8164862614487927,0.6747503566333809,0.35115070527097253,0.9510519536281666,0.4619140625,0.6511013294495696,0.392573567292723,0.7843826571969643,0.5595496991688078,0.5778949422393892,0.43843227145035174,4430,228,874,473
Taiwan Credit Card Default,R5_F5,5,5,GroupAware_Chi2,0.75,23,18,24,21.739130434782606,0.13122189999558032,0.989065199973993,0.8225,0.6765536723163842,0.36425855513307986,0.9511205976520811,0.4735541275333663,0.6576895763925805,0.4044120705799739,0.7820094874427326,0.5527041317062762,0.5886032744200956,0.43066984267401426,4456,229,836,479
