dataset,run_id,repeat,fold,feature_regime,training_regime,ensemble_type,selected_source_features,feature_selection_runtime_seconds,lr_runtime_seconds,rf_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R3_F1,3,1,FrozenChi2Top75,Balanced,SoftVote,11,0.03959310002392158,0.0347745000035502,0.6050195999559946,0.20957730000372976,0.8260869565217391,0.8529411764705882,0.8055555555555556,0.8484848484848485,0.8285714285714286,0.827020202020202,0.6534905591310713,0.9126683501683501,0.9270485232449476,0.826741606248097,0.6994949494949495,56,10,14,58,17.391304347826086,27.536231884057973,57.971014492753625,108.69565217391305
Australian Credit Approval,R3_F2,3,2,FrozenChi2Top75,Balanced,SoftVote,11,0.03864139999495819,0.03833449998637661,0.6128931000130251,0.21408860001247376,0.8623188405797102,0.9014084507042254,0.8421052631578947,0.8870967741935484,0.8707482993197279,0.8646010186757216,0.7257448096720611,0.9180814940577249,0.9150278353412443,0.8643083144797217,0.7453310696095076,55,7,12,64,13.768115942028986,22.463768115942027,48.55072463768116,92.02898550724638
Australian Credit Approval,R3_F3,3,3,FrozenChi2Top75,Balanced,SoftVote,11,0.04098389996215701,0.03830339998239651,0.6099263000069186,0.21035379997920245,0.8695652173913043,0.881578947368421,0.881578947368421,0.8548387096774194,0.881578947368421,0.8682088285229201,0.7364176570458404,0.9514006791171477,0.9672400062697093,0.8681058747913175,0.7716468590831919,53,9,9,67,13.043478260869565,19.565217391304348,39.130434782608695,71.73913043478261
Australian Credit Approval,R3_F4,3,4,FrozenChi2Top75,Balanced,SoftVote,11,0.038679299992509186,0.03142020001541823,0.5994976999936625,0.21087020001141354,0.8913043478260869,0.8933333333333333,0.9054054054054054,0.875,0.8993288590604027,0.8902027027027026,0.7813132857250352,0.9353885135135135,0.9439048198838522,0.8900728788867402,0.8158783783783784,56,8,7,67,10.869565217391305,15.942028985507246,31.159420289855074,56.52173913043478
Australian Credit Approval,R3_F5,3,5,FrozenChi2Top75,Balanced,SoftVote,11,0.038285199960228056,0.045434299972839653,0.6058470999705605,0.21083070000167936,0.855072463768116,0.9113924050632911,0.8470588235294118,0.8679245283018868,0.8780487804878049,0.8574916759156492,0.7029165611684973,0.9405105438401775,0.9532197915661125,0.8574282068230062,0.7786903440621532,46,7,13,72,14.492753623188406,23.91304347826087,52.17391304347826,99.27536231884058
Australian Credit Approval,R4_F1,4,1,FrozenChi2Top75,Balanced,SoftVote,11,0.03848799999104813,0.03152560000307858,0.6052254000096582,0.20753210003022105,0.8623188405797102,0.8873239436619719,0.8513513513513513,0.875,0.8689655172413793,0.8631756756756757,0.7247463219391427,0.9353885135135136,0.9360190652058926,0.8630946833531258,0.7753378378378378,56,8,11,63,13.768115942028986,21.73913043478261,45.65217391304348,85.5072463768116
Australian Credit Approval,R4_F2,4,2,FrozenChi2Top75,Balanced,SoftVote,11,0.03909220005152747,0.03515279997373,0.603951999975834,0.21190890000434592,0.8188405797101449,0.875,0.7671232876712328,0.8769230769230769,0.8175182481751825,0.8220231822971549,0.644658026978921,0.9140147523709167,0.9319164366691512,0.8201878527532606,0.7072708113804005,57,8,17,56,18.115942028985508,30.434782608695652,67.3913043478261,128.9855072463768
Australian Credit Approval,R4_F3,4,3,FrozenChi2Top75,Balanced,SoftVote,11,0.03829480003332719,0.02733399998396635,0.6218421999947168,0.21059760003117844,0.8695652173913043,0.8955223880597015,0.8450704225352113,0.8955223880597015,0.8695652173913043,0.8702964052974564,0.7405928105949128,0.9194870716838344,0.8982153267591431,0.8699307345227857,0.7687618246794198,60,7,11,60,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217
Australian Credit Approval,R4_F4,4,4,FrozenChi2Top75,Balanced,SoftVote,11,0.037529799970798194,0.03281760000390932,0.6661127000115812,0.21191740001086146,0.8768115942028986,0.9294117647058824,0.8777777777777778,0.875,0.9028571428571428,0.8763888888888889,0.7371591589346116,0.9446759259259259,0.9743329005422932,0.8763877883423271,0.8138888888888889,42,6,11,79,12.318840579710145,20.28985507246377,44.20289855072464,84.05797101449275
Australian Credit Approval,R4_F5,4,5,FrozenChi2Top75,Balanced,SoftVote,11,0.039567200001329184,0.03590680001070723,0.6085937999887392,0.21261959994444624,0.9130434782608695,0.9315068493150684,0.9066666666666666,0.9206349206349206,0.918918918918919,0.9136507936507936,0.825556223358918,0.9451851851851851,0.9398944422223259,0.9136240992382998,0.8673015873015872,58,5,7,68,8.695652173913043,13.768115942028986,28.985507246376812,54.34782608695652
