attribute,group,run_id,records,observed_adverse_rate,predicted_adverse_rate,recall_tpr,false_positive_rate,specificity,precision,f1,brier,mean_calibrated_probability
sex,female,R4_F3,3625,0.21241379310344827,0.1870344827586207,0.4961038961038961,0.10367775831873906,0.896322241681261,0.5634218289085545,0.5276243093922652,0.1309822859966743,0.20709039978652719
sex,male,R4_F3,2375,0.2463157894736842,0.22778947368421051,0.5316239316239316,0.12849162011173185,0.8715083798882681,0.5748613678373382,0.5523978685612789,0.1469953304077323,0.23596322324850477
sex,female,R4_F4,3682,0.2066811515480717,0.1795219989136339,0.480946123521682,0.10099281068127354,0.8990071893187265,0.5537065052950075,0.5147679324894514,0.12975875978973475,0.21061819880294222
sex,male,R4_F4,2313,0.23994811932555124,0.2191958495460441,0.5171171171171172,0.12514220705346984,0.8748577929465301,0.5660749506903353,0.5404896421845574,0.14617902787969,0.23946289839971951
sex,female,R4_F5,3597,0.20878509869335557,0.19460661662496526,0.5033288948069241,0.11314125087842586,0.8868587491215741,0.54,0.5210199862164026,0.13083413541975242,0.21487802953462215
sex,male,R4_F5,2408,0.242109634551495,0.25290697674418605,0.5780445969125214,0.14904109589041095,0.8509589041095891,0.5533661740558292,0.5654362416107382,0.14293660300100436,0.25086465278825126
sex,female,R5_F1,3670,0.2128065395095368,0.17438692098092642,0.4967989756722151,0.08722741433021806,0.9127725856697819,0.60625,0.546094299788881,0.12745472282914463,0.2143450747277057
sex,male,R5_F1,2329,0.22455989695148132,0.20395019321597252,0.5391969407265774,0.10686600221483943,0.8931339977851606,0.5936842105263158,0.5651302605210421,0.134316321030404,0.2402122746968009
sex,female,R5_F2,3595,0.20778859527121002,0.17579972183588316,0.48728246318607765,0.09410112359550561,0.9058988764044944,0.5759493670886076,0.5279187817258884,0.12862824595580916,0.20574290559803807
sex,male,R5_F2,2403,0.24968789013732834,0.23096129837702872,0.5433333333333333,0.12701053799223516,0.8729894620077648,0.5873873873873874,0.5645021645021645,0.14528809799855386,0.24590696390787442
sex,female,R5_F3,3606,0.204381586245147,0.1752634498058791,0.4789687924016282,0.09724642732659464,0.9027535726734054,0.5585443037974683,0.5157048940832724,0.13028057762586862,0.20659288453322305
sex,male,R5_F3,2392,0.24498327759197325,0.23118729096989968,0.5460750853242321,0.12901439645625692,0.8709856035437431,0.5786618444846293,0.5618964003511853,0.14460171455862442,0.24684751790171805
sex,female,R5_F4,3632,0.2045704845814978,0.1731828193832599,0.4831763122476447,0.09345794392523364,0.9065420560747663,0.5707472178060413,0.5233236151603498,0.12814395285353228,0.2072528730954287
sex,male,R5_F4,2373,0.25453013063632535,0.213653603034134,0.5016556291390728,0.11531938948558508,0.8846806105144149,0.5976331360946746,0.5454545454545453,0.1500942814173946,0.23443587649104763
sex,female,R5_F5,3609,0.2091992241618177,0.17262399556663896,0.4847682119205298,0.0900490539593553,0.9099509460406447,0.5874799357945425,0.5312046444121916,0.1283463491407636,0.20591603053603735
sex,male,R5_F5,2391,0.23421162693433709,0.24006691760769552,0.5428571428571428,0.1474604041507373,0.8525395958492626,0.5296167247386759,0.5361552028218695,0.14344977234029915,0.24719779361200084
age_group,<30,R1_F1,1935,0.22739018087855298,0.2041343669250646,0.5386363636363637,0.10568561872909699,0.894314381270903,0.6,0.5676646706586826,0.13203270365370134,0.2260425506544172
age_group,30-39,R1_F1,2243,0.1966116807846634,0.16852429781542577,0.4852607709750567,0.09100998890122086,0.9089900110987791,0.5661375661375662,0.5225885225885225,0.12148416176867173,0.20204584914941046
age_group,40-49,R1_F1,1307,0.21882172915072687,0.18439173680183626,0.486013986013986,0.09990205680705191,0.9000979431929481,0.5767634854771784,0.5275142314990512,0.1387959498488958,0.22292228845770348
age_group,50+,R1_F1,514,0.2607003891050584,0.2490272373540856,0.5,0.16052631578947368,0.8394736842105263,0.5234375,0.5114503816793893,0.16151059384821473,0.2574848430426017
age_group,<30,R1_F2,1943,0.22954194544518786,0.19402985074626866,0.48654708520179374,0.10688042752171009,0.8931195724782899,0.5755968169761273,0.5273390036452005,0.13987657920616256,0.22651177879512463
age_group,30-39,R1_F2,2250,0.20622222222222222,0.15777777777777777,0.44396551724137934,0.08342665173572228,0.9165733482642777,0.5802816901408451,0.503052503052503,0.12862291974718704,0.20284387304847157
age_group,40-49,R1_F2,1247,0.23736968724939855,0.18765036086607859,0.48986486486486486,0.0935856992639327,0.9064143007360673,0.6196581196581197,0.5471698113207547,0.14008358616446165,0.23111125220668613
age_group,50+,R1_F2,557,0.236983842010772,0.22262118491921004,0.5303030303030303,0.12705882352941175,0.8729411764705882,0.5645161290322581,0.5468750000000001,0.14526789915206648,0.25357748626543014
age_group,<30,R1_F3,1899,0.22327540810953134,0.19167983149025802,0.4858490566037736,0.10711864406779661,0.8928813559322034,0.5659340659340659,0.5228426395939086,0.13732430629448777,0.23226576856736764
age_group,30-39,R1_F3,2284,0.19921190893169877,0.16024518388791595,0.4307692307692308,0.09294696555494805,0.9070530344450519,0.5355191256830601,0.47746650426309384,0.13176640259257283,0.20787031131990827
age_group,40-49,R1_F3,1295,0.22625482625482626,0.1915057915057915,0.515358361774744,0.0968063872255489,0.9031936127744511,0.6088709677419355,0.5582255083179298,0.13369068412773943,0.23239772329598826
age_group,50+,R1_F3,524,0.25572519083969464,0.25,0.5149253731343284,0.15897435897435896,0.841025641025641,0.5267175572519084,0.5207547169811321,0.15092772094762136,0.261040436970526
age_group,<30,R1_F4,1911,0.23181580324437467,0.21664050235478807,0.5282167042889391,0.1226158038147139,0.8773841961852861,0.5652173913043478,0.5460910151691949,0.1390477018009314,0.22864059937067024
age_group,30-39,R1_F4,2234,0.20143240823634737,0.1718889883616831,0.4911111111111111,0.0913677130044843,0.9086322869955157,0.5755208333333334,0.5299760191846523,0.12508428185440418,0.20044562333053284
age_group,40-49,R1_F4,1301,0.22598001537279017,0.2167563412759416,0.5408163265306123,0.1221449851042701,0.8778550148957299,0.5638297872340425,0.5520833333333334,0.13249887137487718,0.23059756314467003
age_group,50+,R1_F4,554,0.2563176895306859,0.2581227436823105,0.6197183098591549,0.13349514563106796,0.866504854368932,0.6153846153846154,0.6175438596491227,0.1387221847745768,0.25249657957456184
age_group,<30,R1_F5,1930,0.23005181347150258,0.21139896373056996,0.5427927927927928,0.11238223418573351,0.8876177658142664,0.5906862745098039,0.5657276995305164,0.1345960004122314,0.23294453503329762
age_group,30-39,R1_F5,2227,0.20925011225864393,0.1656937584193983,0.45064377682403434,0.09028960817717206,0.909710391822828,0.5691056910569106,0.5029940119760479,0.13356125951890604,0.20506833996958448
age_group,40-49,R1_F5,1314,0.2404870624048706,0.17275494672754946,0.47468354430379744,0.07715430861723446,0.9228456913827655,0.6607929515418502,0.5524861878453038,0.13901106337718377,0.2192533145788637
age_group,50+,R1_F5,531,0.256120527306968,0.224105461393597,0.5588235294117647,0.10886075949367088,0.8911392405063291,0.6386554621848739,0.596078431372549,0.1447232244525597,0.2549405636957941
age_group,<30,R2_F1,2002,0.2202797202797203,0.2192807192807193,0.546485260770975,0.1268417680973735,0.8731582319026265,0.5489749430523918,0.5477272727272727,0.13376527529584425,0.23024469086536506
