dataset,run_id,repeat,fold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,stage
German Credit,R2_F5,2,5,0.735,0.6153846153846154,0.5882352941176471,0.8106060606060606,0.6015037593984962,0.6994206773618539,0.4033834185065438,0.7677139037433156,0.6063344708348237,0.6905266790458956,107,25,28,40,26.5,40.5,82.5,152.5,A2_FrozenFS_BalancedXGB
German Credit,R3_F1,3,1,0.76,0.5441176470588235,0.6851851851851852,0.7876712328767124,0.6065573770491803,0.7364282090309489,0.4431606328850486,0.8107559614408929,0.6087758003791282,0.7346432192320795,115,31,17,37,24.0,32.5,58.0,100.5,A2_FrozenFS_BalancedXGB
German Credit,R3_F2,3,2,0.755,0.6197183098591549,0.6666666666666666,0.7985074626865671,0.6423357664233577,0.7325870646766168,0.4571049148420398,0.788783355947535,0.6445346684954197,0.7296151783356151,107,27,22,44,24.5,35.5,68.5,123.5,A2_FrozenFS_BalancedXGB
German Credit,R3_F3,3,3,0.765,0.5172413793103449,0.6122448979591837,0.8145695364238411,0.5607476635514018,0.7134072171915125,0.4045455637319612,0.7699689147182052,0.5404065132119996,0.7061983026802557,123,28,19,30,23.5,33.0,61.5,109.0,A2_FrozenFS_BalancedXGB
German Credit,R3_F4,3,4,0.705,0.5675675675675675,0.6086956521739131,0.7557251908396947,0.5874125874125874,0.6822104215068039,0.35880812531823,0.7729837371390641,0.5834359846521057,0.6782378918214632,99,32,27,42,29.5,43.0,83.5,151.0,A2_FrozenFS_BalancedXGB
German Credit,R3_F5,3,5,0.73,0.5714285714285714,0.5161290322580645,0.8260869565217391,0.5423728813559322,0.6711079943899019,0.3525010580494761,0.7592332865825151,0.6461602844809997,0.6529681932763456,114,24,30,32,27.0,42.0,87.0,162.0,A2_FrozenFS_BalancedXGB
German Credit,R4_F1,4,1,0.765,0.5875,0.7704918032786885,0.762589928057554,0.6666666666666666,0.7665408656681212,0.5009916651044681,0.8233282226677674,0.6675706272324212,0.7665306835549572,106,33,14,47,23.5,30.5,51.5,86.5,A2_FrozenFS_BalancedXGB
German Credit,R4_F2,4,2,0.75,0.5333333333333333,0.5925925925925926,0.8082191780821918,0.5614035087719298,0.7004058853373922,0.3883060273455655,0.754185692541857,0.6133820744673981,0.6920583054358789,118,28,22,32,25.0,36.0,69.0,124.0,A2_FrozenFS_BalancedXGB
German Credit,R4_F3,4,3,0.745,0.5714285714285714,0.7096774193548387,0.7608695652173914,0.6330935251798561,0.735273492286115,0.4472398202938643,0.7766479663394109,0.6113713009777333,0.7348278366455073,105,33,18,44,25.5,34.5,61.5,106.5,A2_FrozenFS_BalancedXGB
German Credit,R4_F4,4,4,0.73,0.5733333333333334,0.6615384615384615,0.762962962962963,0.6142857142857143,0.7122507122507122,0.4106927878620458,0.7932763532763533,0.6842803756776183,0.7104430622712454,103,32,22,43,27.0,38.0,71.0,126.0,A2_FrozenFS_BalancedXGB
