dataset,run_id,repeat,fold,calibration_method,selected_source_features,mean_predicted_probability,observed_adverse_rate,brier_score,log_loss,ece_10bin,calibration_intercept,calibration_slope,roc_auc,pr_auc,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,ks_statistic,tn,fp,fn,tp
German Credit,R3_F1,3,1,Isotonic,15,0.2948596609914658,0.27,0.1459648719957582,0.44491646025084464,0.05419950479819441,-0.01110444644182965,1.2659661460091813,0.8200152207001522,0.6184869914667184,0.795,0.6382978723404256,0.5555555555555556,0.8835616438356164,0.594059405940594,0.719558599695586,0.45978956573981666,0.7006194258716181,0.4941653982749873,129,17,24,30
German Credit,R3_F2,3,2,Uncalibrated,15,0.3829230932917473,0.33,0.1703288760118435,0.5169914344746416,0.07753356000898218,-0.34083761046255134,0.894584885872635,0.7946630483943917,0.6546675701688515,0.755,0.6197183098591549,0.6666666666666666,0.7985074626865671,0.6423357664233577,0.7325870646766168,0.45710491484203986,0.7296151783356151,0.48869289914066033,107,27,22,44
German Credit,R3_F2,3,2,Sigmoid,15,0.3180393393203706,0.33,0.16653698765925967,0.5080992710120759,0.07491803710053813,0.10758423966087109,1.0634978391697956,0.7946630483943917,0.6546675701688515,0.76,0.6875,0.5,0.8880597014925373,0.5789473684210527,0.6940298507462687,0.427248453669066,0.6663556488439702,0.48869289914066033,119,15,33,33
German Credit,R3_F2,3,2,Isotonic,15,0.31780839773962827,0.33,0.1643538207215667,0.5019469606455128,0.055872857320097585,0.08523931264684309,1.0211115514114864,0.7924016282225238,0.6547391222498763,0.76,0.6956521739130435,0.48484848484848486,0.8955223880597015,0.5714285714285714,0.6901854364540931,0.42500334081510516,0.6589329806578536,0.48869289914066033,120,14,34,32
German Credit,R3_F3,3,3,Uncalibrated,15,0.3367673063622448,0.245,0.16035309817878945,0.4895158274717781,0.10671442902715421,-0.629188834518693,0.8647442089929891,0.7780781186646843,0.5352565635656854,0.77,0.5254237288135594,0.6326530612244898,0.8145695364238411,0.5740740740740741,0.7236112988241654,0.4217690343751833,0.717871792730956,0.4962832815245304,123,28,18,31
German Credit,R3_F3,3,3,Sigmoid,15,0.28493737862526397,0.245,0.15103279433300137,0.4665439495885948,0.07466943715046143,-0.2894231772712664,0.9505914496653579,0.7780781186646843,0.5352565635656854,0.76,0.5135135135135135,0.3877551020408163,0.8807947019867549,0.4418604651162791,0.6342749020137857,0.29745186017238257,0.5844079393248217,0.4962832815245304,133,18,30,19
German Credit,R3_F3,3,3,Isotonic,15,0.28517149766225947,0.245,0.1548508754841805,0.4890344140946197,0.10145647751987497,-0.44763047706984166,0.6993874194862565,0.7755102040816326,0.5108548239651957,0.76,0.5135135135135135,0.3877551020408163,0.8807947019867549,0.4418604651162791,0.6342749020137857,0.29745186017238257,0.5844079393248217,0.48857953777537505,133,18,30,19
German Credit,R3_F4,3,4,Uncalibrated,15,0.37870240194344973,0.345,0.18169587972334086,0.5375140260767745,0.07866470142684356,-0.2372278043561754,0.8395893578959333,0.7768558468857175,0.5878243018476528,0.715,0.581081081081081,0.6231884057971014,0.7633587786259542,0.6013986013986014,0.6932735922115278,0.38059368241101865,0.6897219296956788,0.47870339639340637,100,31,26,43
German Credit,R3_F4,3,4,Sigmoid,15,0.3141563049463004,0.345,0.18205579151314183,0.5366917382090945,0.07715225715600657,0.09250853733470461,0.8494902553915786,0.7768558468857175,0.5878243018476528,0.71,0.6170212765957447,0.42028985507246375,0.8625954198473282,0.5,0.641442637459896,0.3171581606101202,0.6021130325726264,0.47870339639340637,113,18,40,29
German Credit,R3_F4,3,4,Isotonic,15,0.31279187977064254,0.345,0.18410122478529034,0.5425083340633248,0.07656100209502646,0.04520304613077589,0.7419770732543967,0.771379577386879,0.5691655705656744,0.715,0.625,0.43478260869565216,0.8625954198473282,0.5128205128205128,0.6486890142714902,0.33099898233273856,0.6124063086629192,0.45890032083195037,113,18,39,30
German Credit,R3_F5,3,5,Uncalibrated,15,0.35778826407445036,0.31,0.1678301045179289,0.4991782071741865,0.09643351012751862,-0.26997311397963925,1.034321820647084,0.7861150070126226,0.6601117243317391,0.745,0.5932203389830508,0.5645161290322581,0.8260869565217391,0.5785123966942148,0.6953015427769986,0.39612795822631774,0.6828904823906184,0.41654978962131833,114,24,27,35
German Credit,R3_F5,3,5,Sigmoid,15,0.2981229270060846,0.31,0.1645221080175145,0.493547540589406,0.08571333659335803,0.13607999238216545,1.095099783076156,0.7861150070126226,0.6601117243317391,0.76,0.6842105263157895,0.41935483870967744,0.9130434782608695,0.52,0.6661991584852734,0.391872600140376,0.618780413847279,0.41654978962131833,126,12,36,26
